Model,AdjustmentRangeA,Min,Max,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CT7N-23-A16,"0,10-0,16",0.1,0.16,,,,,,
CT7N-23-A25,"0,16-0,25",0.16,0.25,,,,,,
CT7N-23-A40,"0,25-0,40",0.25,0.4,,,,,,
CT7N-23-A50,"0,35-0,50",0.35,0.5,,,,,,
CT7N-23-A63,"0,45-0,63",0.45,0.63,,,,,,
CT7N-23-A80,"0,55-0,80",0.55,0.8,,,,,,
CT7N-23-B10,"0,75-1,00",0.75,1.0,,,,,,
CT7N-23-B13,"0,90-1,30",0.9,1.3,,,,,,
CT7N-23-B16,"1,10-1,60",1.1,1.6,,,,,,
CT7N-23-B20,"1,40-2,00",1.4,2.0,,,,,,
CT7N-23-B25,"1,80-2,50",1.8,2.5,,,,,,
CT7N-23-B32,"2,30-3,20",2.3,3.2,,,,,,
CT7N-23-B40,"2,90-4,00",2.9,4.0,,,,,,
CT7N-23-B48,"3,50-4,80",3.5,4.8,,,,,,
CT7N-23-B63,"4,50-6,30",4.5,6.3,,,,,,
CT7N-23-B75,"5,50-7,50",5.5,7.5,,,,,,
CT7N-23-C10,"7,20-10,00",7.2,10.0,,,,,,
CT7N-23-C12,"9,00-12,50",9.0,12.5,,,,,,
CT7N-23-C16,"11,30-16,00",11.3,16.0,,,,,,
CT7N-23-C20,"15,00-20,00",15.0,20.0,,,,,,
CT7N-23-C21,"17,50-21,50",17.5,21.5,,,,,,
CT7N-23-C25,"21,00-25,00",21.0,25.0,,,,,,
CT7N-37-C21,"17,50-21,50",17.5,21.5,,,,,,
CT7N-37-C25,"21,00-25,00",21.0,25.0,,,,,,Aucun résultat trouvé
CT7N-37-C30,"24,50-30,00",24.5,30.0,,,,,,
CT7N-37-C36,"29,00-36,00",29.0,36.0,,,,,,
CT7N-37-C38,"33,00-38,00",33.0,38.0,,,,,,
CT7N-43-C25,"17,00-25,00",17.0,25.0,,,,,,
CT7N-43-C36,"24,50-36,00",24.5,36.0,,,,,,
CT7N-43-C47,"35,00-47,00",35.0,47.0,,,,,,
CT7N-55-C60,"45,00-60,00",45.0,60.0,,,,,,
CT7N-85-C47,"35,00-47,00",35.0,47.0,,,,,,
CT7N-85-C60,"45,00-60,00",45.0,60.0,,,,,,
CT7N-85-C75,"58,00-75,00",58.0,75.0,,,,,,
CT7N-85-C90,"72,00-90,00",72.0,90.0,,,,,,
CT7N-97-C97,"85,00-97,00",85.0,97.0,,,,,,
CT7N-85-C47P,"35,00-47,00",35.0,47.0,,,,,,
CT7N-85-C60P,"45,00-60,00",45.0,60.0,,,,,,
CT7N-85-C75P,"58,00-75,00",58.0,75.0,,,,,,
CT7N-85-C90P,"72,00-90,00",72.0,90.0,,,,,,
CT7N-97-C97P,"85,00-97,00",85.0,97.0,,,,,,
